tags,long,lat,dTime,source_file
254026_0,-121.8935071,36.86658976,2024-04-14T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.0629086,36.94168633,2024-04-14T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.3111689,37.08197106,2024-04-14T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5160072,37.23856177,2024-04-14T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5378452,37.31128336,2024-04-15T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.4703451,37.30729755,2024-04-15T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.560133,37.37402268,2024-04-15T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.7095645,37.52457339,2024-04-15T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.7300526,37.61273873,2024-04-16T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.790049,37.62527381,2024-04-16T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9346932,37.62144138,2024-04-16T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9872178,37.57571977,2024-04-16T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.1156385,37.46805011,2024-04-17T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.2162068,37.40042013,2024-04-17T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.2583815,37.33116709,2024-04-17T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.2654763,37.23882792,2024-04-17T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.222204,37.18479775,2024-04-18T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.2793339,37.14692927,2024-04-18T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.1541723,37.10233299,2024-04-18T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.1305816,37.09902179,2024-04-18T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.0691372,37.31758358,2024-04-19T05:00:00Z,254026-RawArgos_pred_6h.csv
