DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment,lon,lat
254030,254030,UT,17:42:09 14-Apr-2024,Argos,A,37.2949,-122.6218,4446,92333,214,101,NA,NA,NA,NA,NA,NA,-122.6218,37.2949
254030,254030,UT,18:04:35 14-Apr-2024,Argos,B,37.3049,-122.6726,9339,25360,3439,100,NA,NA,NA,NA,NA,NA,-122.6726,37.3049
254030,254030,UT,19:05:20 14-Apr-2024,Argos,B,37.284,-122.5853,5154,9015,2946,26,NA,NA,NA,NA,NA,NA,-122.5853,37.284
254030,254030,UT,20:17:28 14-Apr-2024,Argos,B,37.2812,-122.5955,5175,5931,4515,44,NA,NA,NA,NA,NA,NA,-122.5955,37.2812
254030,254030,UT,01:20:23 15-Apr-2024,Argos,1,37.305,-122.6718,510,1930,134,71,NA,NA,NA,NA,NA,NA,-122.6718,37.305
254030,254030,UT,02:25:19 15-Apr-2024,Argos,B,37.3109,-122.6797,3154,5895,1687,98,NA,NA,NA,NA,NA,NA,-122.6797,37.3109
254030,254030,UT,02:42:45 15-Apr-2024,Argos,A,37.3169,-122.6598,125,597,26,104,NA,NA,NA,NA,NA,NA,-122.6598,37.3169
254030,254030,UT,02:50:12 15-Apr-2024,Argos,A,37.3133,-122.6646,1001,5474,183,87,NA,NA,NA,NA,NA,NA,-122.6646,37.3133
254030,254030,UT,03:29:23 15-Apr-2024,Argos,A,37.312,-122.6399,204,565,73,104,NA,NA,NA,NA,NA,NA,-122.6399,37.312
254030,254030,UT,03:37:10 15-Apr-2024,Argos,B,37.3126,-122.6432,377,487,291,37,NA,NA,NA,NA,NA,NA,-122.6432,37.3126
254030,254030,UT,04:02:47 15-Apr-2024,Argos,B,37.3109,-122.643,595,1382,255,72,NA,NA,NA,NA,NA,NA,-122.643,37.3109
254030,254030,UT,04:31:22 15-Apr-2024,Argos,B,37.3097,-122.642,942,1447,613,77,NA,NA,NA,NA,NA,NA,-122.642,37.3097
254030,254030,UT,05:11:35 15-Apr-2024,Argos,2,37.296,-122.6059,317,947,105,82,NA,NA,NA,NA,NA,NA,-122.6059,37.296
254030,254030,UT,05:13:43 15-Apr-2024,Argos,B,37.2969,-122.6062,262,421,163,80,NA,NA,NA,NA,NA,NA,-122.6062,37.2969
254030,254030,UT,06:33:28 15-Apr-2024,Argos,A,37.3104,-122.5687,240,876,65,63,NA,NA,NA,NA,NA,NA,-122.5687,37.3104
254030,254030,UT,07:21:10 15-Apr-2024,Argos,B,37.3132,-122.5603,661,7800,56,49,NA,NA,NA,NA,NA,NA,-122.5603,37.3132
254030,254030,UT,13:11:53 15-Apr-2024,Argos,B,37.3093,-122.4587,2613,3280,2080,85,NA,NA,NA,NA,NA,NA,-122.4587,37.3093
254030,254030,UT,13:32:03 15-Apr-2024,Argos,B,37.3134,-122.5182,2033,112354,36,92,NA,NA,NA,NA,NA,NA,-122.5182,37.3134
254030,254030,UT,14:47:45 15-Apr-2024,Argos,B,37.3085,-122.4866,2289,8032,652,90,NA,NA,NA,NA,NA,NA,-122.4866,37.3085
254030,254030,UT,15:10:30 15-Apr-2024,Argos,B,37.2904,-122.5712,871,1476,513,132,NA,NA,NA,NA,NA,NA,-122.5712,37.2904
254030,254030,UT,15:10:51 15-Apr-2024,Argos,B,37.2895,-122.5691,878,1493,515,132,NA,NA,NA,NA,NA,NA,-122.5691,37.2895
254030,254030,UT,15:18:50 15-Apr-2024,Argos,B,37.2991,-122.4946,2267,10096,509,93,NA,NA,NA,NA,NA,NA,-122.4946,37.2991
254030,254030,UT,16:51:23 15-Apr-2024,Argos,B,37.2697,-122.4982,1658,24071,114,107,NA,NA,NA,NA,NA,NA,-122.4982,37.2697
254030,254030,UT,17:35:13 15-Apr-2024,Argos,A,37.2538,-122.5436,179,620,51,85,NA,NA,NA,NA,NA,NA,-122.5436,37.2538
254030,254030,UT,17:36:42 15-Apr-2024,Argos,B,37.2459,-122.5212,544,1163,254,49,NA,NA,NA,NA,NA,NA,-122.5212,37.2459
254030,254030,UT,18:51:34 15-Apr-2024,Argos,A,37.2682,-122.5297,606,2585,141,139,NA,NA,NA,NA,NA,NA,-122.5297,37.2682
254030,254030,UT,20:35:19 15-Apr-2024,Argos,B,37.2946,-122.5225,1567,4322,567,99,NA,NA,NA,NA,NA,NA,-122.5225,37.2946
254030,254030,UT,21:07:41 15-Apr-2024,Argos,B,37.2882,-122.5265,2272,5026,1027,89,NA,NA,NA,NA,NA,NA,-122.5265,37.2882
