DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
254030,254030,0.500000,UT,,,05:32:48 12-Apr-2024,,B,37.3164,-122.5768,,,,,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,06:21:11 12-Apr-2024,,B,37.2806,-122.5584,,,,,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,06:22:15 12-Apr-2024,,B,37.2806,-122.5584,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,07:10:15 12-Apr-2024,,B,37.2867,-122.5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,07:14:05 12-Apr-2024,,B,37.2867,-122.5369,,,,,,,,,31.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,13:36:57 12-Apr-2024,,A,37.2735,-122.5610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,13:38:42 12-Apr-2024,,A,37.2735,-122.5610,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,13:40:12 12-Apr-2024,,A,37.2735,-122.5610,,,,,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,14:24:09 12-Apr-2024,,A,37.2781,-122.5373,,,,,,,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,14:25:16 12-Apr-2024,,A,37.2781,-122.5373,,,,,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
