DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254030,254030,UT,18:29:44 05-May-2024,,,A,36.9725,-122.7471,CRC 13.14,18:29:44 05-May-2024,Status,77,9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,16:10:46 06-May-2024,,,0,36.8199,-122.7307,CRC 1.9,,,97,135,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:21:00 06-May-2024,,,0,36.7676,-122.8524,CRC 0.15,18:21:00 06-May-2024,Status,80,145,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,23:36:16 06-May-2024,,,B,36.7512,-122.8941,CRC 3.12,23:36:16 06-May-2024,Status,67,145,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:06:53 07-May-2024,,,3,36.7377,-122.7563,CRC 87.203,04:09:01 07-May-2024,Status,74,240,173,253,232,151,129,19,19,144,144,89,23,92,163,8,137,74,183,0,101,38,238,,,,,,,,,
254030,254030,UT,06:09:30 07-May-2024,,,3,36.7263,-122.6939,CRC 181.104,06:11:38 07-May-2024,Status,86,176,165,253,232,151,129,23,19,152,185,150,86,93,7,14,1,53,23,210,96,187,0,,,,,,,,,
254030,254030,UT,07:10:31 07-May-2024,,,A,36.7345,-122.6695,CRC 118.95,07:12:39 07-May-2024,Status,78,208,165,253,232,151,129,19,19,156,201,216,22,93,33,206,110,241,24,49,6,128,76,,,,,,,,,
254030,254030,UT,08:46:30 07-May-2024,,,0,36.7625,-122.6754,CRC 11.1,08:46:30 07-May-2024,Status,27,143,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:05:12 07-May-2024,,,B,36.7388,-122.6325,CRC 122.145,18:07:21 07-May-2024,Status,79,80,165,253,232,151,129,19,19,200,117,87,150,79,140,100,157,48,62,7,176,250,194,,,,,,,,,
254030,254030,UT,03:04:26 09-May-2024,,,A,36.7307,-122.6550,CRC 15.8,03:04:26 09-May-2024,Status,15,143,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:30:12 09-May-2024,,,B,36.7505,-122.6570,CRC 0.5,04:30:12 09-May-2024,Status,80,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:26:46 09-May-2024,,,A,36.7404,-122.5594,CRC 7.4,,,103,137,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:19:24 09-May-2024,,,1,36.8240,-122.5938,CRC 11.10,14:19:24 09-May-2024,Status,27,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:15:24 09-May-2024,,,B,36.8287,-122.5661,CRC 6.13,15:15:24 09-May-2024,Status,38,41,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:09:25 10-May-2024,,,1,36.9263,-122.5887,CRC 1.11,05:09:25 10-May-2024,Status,65,37,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,06:19:56 10-May-2024,,,0,36.9205,-122.5942,CRC 13.7,06:19:56 10-May-2024,Status,77,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,12:09:27 10-May-2024,,,0,36.8878,-122.5003,CRC 15.4,12:09:27 10-May-2024,Status,95,146,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:28:37 10-May-2024,,,A,36.8792,-122.3979,CRC 15.11,15:28:37 10-May-2024,Status,79,249,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,02:10:25 11-May-2024,,,A,36.9184,-122.6047,CRC 0.8,02:10:25 11-May-2024,Status,64,96,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:10:12 11-May-2024,,,0,36.8797,-122.5264,CRC 1.4,,,97,84,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:23:09 11-May-2024,,,A,36.9036,-122.5267,CRC 14.7,03:23:09 11-May-2024,Status,78,52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:24:27 11-May-2024,,,A,36.9036,-122.5267,CRC 2.14,,,98,136,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:24:27 11-May-2024,,,A,36.8912,-122.5347,CRC 2.13,,,98,136,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,06:24:26 11-May-2024,,,2,36.9402,-122.5185,CRC 9.1,06:24:26 11-May-2024,Status,57,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,12:24:12 11-May-2024,,,0,36.9133,-122.4978,CRC 9.6,,,121,130,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:04:25 11-May-2024,,,0,36.9362,-122.4196,CRC,,Fast-GPS,103,137,0,144,62,247,240,30,155,48,55,202,204,68,223,178,39,162,84,84,63,215,55,62,159,164,43,,,,,
254030,254030,UT,17:02:10 11-May-2024,,,A,36.9755,-122.4218,CRC 9.10,17:02:10 11-May-2024,Status,89,253,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,21:09:25 11-May-2024,,,2,36.9765,-122.4596,CRC 14.8,21:09:25 11-May-2024,Status,94,215,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:25:20 12-May-2024,,,0,36.8862,-122.2978,CRC 15.7,14:25:20 12-May-2024,Status,79,145,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:11:07 12-May-2024,,,,,,CRC 9.2,15:11:07 12-May-2024,Status,25,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
